P_kPa,T_K,v_f_m3/kg,v_g_m3/kg,u_f_kJ/kg,u_g_kJ/kg,h_f_kJ/kg,h_g_kJ/kg,s_f_kJ/kg.K,s_g_kJ/kg.K
0.6117,273.15999999999997,0.001,206.0,0.0,2374.9,0.001,2500.9,0.0,9.1556
0.8725,278.15,0.001,147.03,21.019,2381.8,21.02,2510.1,0.0763,9.0249
1.0,280.12,0.001,129.19,29.302,2384.5,29.303,2513.7,0.1059,8.9749
1.2281,283.15,0.001,106.32,42.02,2388.7,42.022,2519.2,0.1511,8.8999
1.5,286.16999999999996,0.001001,87.964,54.686,2392.8,54.688,2524.7,0.1956,8.827
1.7057,288.15,0.001001,77.885,62.98,2395.5,62.982,2528.3,0.2245,8.7803
2.0,290.65,0.001001,66.99,73.431,2398.9,73.433,2532.9,0.2606,8.7227
2.3392,293.15,0.001002,57.762,83.913,2402.3,83.915,2537.4,0.2965,8.6661
2.5,294.22999999999996,0.001002,54.242,88.422,2403.8,88.424,2539.4,0.3118,8.6421
3.0,297.22999999999996,0.001003,45.654,100.982,2407.9,100.982,2544.8,0.3543,8.5765
3.1698,298.15,0.001003,43.34,104.83,2409.1,104.83,2546.5,0.3672,8.5567
4.0,302.10999999999996,0.001004,34.791,121.39,2414.5,121.39,2553.7,0.4224,8.4734
4.2469,303.15,0.001004,32.879,125.73,2415.9,125.74,2555.6,0.4368,8.452
5.0,306.02,0.001005,28.185,137.75,2419.8,137.75,2560.7,0.4762,8.3938
5.6291,308.15,0.001006,25.205,146.63,2422.7,146.64,2564.6,0.5051,8.3517
7.3851,313.15,0.001008,19.515,167.53,2429.4,167.53,2573.5,0.5724,8.2556
7.5,313.44,0.001008,19.233,168.74,2429.8,168.75,2574.0,0.5763,8.2501
9.5953,318.15,0.00101,15.251,188.43,2436.1,188.44,2582.4,0.6386,8.1633
10.0,318.96,0.00101,14.67,191.79,2437.2,191.81,2583.9,0.6492,8.1488
12.352,323.15,0.001012,12.026,209.33,2442.7,209.34,2591.3,0.7038,8.0748
15.0,327.12,0.001014,10.02,225.93,2448.0,225.94,2598.3,0.7549,8.0071
15.763,328.15,0.001015,9.5639,230.24,2449.3,230.26,2600.1,0.768,7.9898
19.947,333.15,0.001017,7.667,251.16,2455.9,251.18,2608.8,0.8313,7.9082
20.0,333.21,0.001017,7.6481,251.4,2456.0,251.42,2608.9,0.832,7.9073
25.0,338.10999999999996,0.00102,6.2034,271.93,2462.4,271.96,2617.5,0.8932,7.8302
25.043,338.15,0.00102,6.1935,272.09,2462.4,272.12,2617.5,0.8937,7.8296
30.0,342.24,0.001022,5.2287,289.24,2467.7,289.27,2624.6,0.9441,7.7675
31.202,343.15,0.001023,5.0396,293.04,2468.9,293.07,2626.1,0.9551,7.754
38.597,348.15,0.001026,4.1291,313.99,2475.3,314.03,2634.6,1.0158,7.6812
40.0,349.01,0.001026,3.9933,317.58,2476.3,317.62,2636.1,1.0261,7.6691
47.416,353.15,0.001029,3.4053,334.97,2481.6,335.02,2643.0,1.0756,7.6111
50.0,354.46999999999997,0.00103,3.2403,340.49,2483.2,340.54,2645.2,1.0912,7.5931
57.868,358.15,0.001032,2.8261,355.96,2487.8,356.02,2651.4,1.1346,7.5435
70.183,363.15,0.001036,2.3593,376.97,2494.0,377.04,2659.6,1.1929,7.4782
75.0,364.90999999999997,0.001037,2.2172,384.36,2496.1,384.44,2662.4,1.2132,7.4558
84.609,368.15,0.00104,1.9808,398.0,2500.1,398.09,2667.6,1.2504,7.4151
100.0,372.76,0.001043,1.6941,417.4,2505.6,417.51,2675.0,1.3028,7.3589
101.325,373.12,0.001043,1.6734,418.95,2506.0,419.06,2675.6,1.3069,7.3545
101.42,373.15,0.001043,1.672,419.06,2506.0,419.17,2675.6,1.3072,7.3542
120.9,378.15,0.001047,1.4186,440.15,2511.9,440.28,2683.4,1.3634,7.2952
125.0,379.12,0.001048,1.375,444.23,2513.0,444.36,2684.9,1.3741,7.2841
143.38,383.15,0.001052,1.2094,461.27,2517.7,461.42,2691.1,1.4188,7.2382
150.0,384.5,0.001053,1.1594,466.97,2519.2,467.13,2693.1,1.4337,7.2231
169.18,388.15,0.001056,1.036,482.42,2523.3,482.59,2698.6,1.4737,7.1829
175.0,389.19,0.001057,1.0037,486.82,2524.5,487.01,2700.2,1.485,7.1716
198.67,393.15,0.00106,0.8913,503.6,2528.9,503.81,2706.0,1.5279,7.1292
200.0,393.35999999999996,0.001061,0.88578,504.5,2529.1,504.71,2706.3,1.5302,7.127
225.0,397.12,0.001064,0.79329,520.47,2533.2,520.71,2711.7,1.5706,7.0877
232.23,398.15,0.001065,0.77012,524.83,2534.3,525.07,2713.1,1.5816,7.0771
250.0,400.55999999999995,0.001067,0.71873,535.08,2536.8,535.35,2716.5,1.6072,7.0525
270.28,403.15,0.00107,0.66808,546.1,2539.5,546.38,2720.1,1.6346,7.0265
275.0,403.73,0.00107,0.65732,548.57,2540.1,548.86,2720.9,1.6408,7.0207
300.0,406.66999999999996,0.001073,0.60582,561.11,2543.2,561.43,2724.9,1.6717,6.9917
313.22,408.15,0.001075,0.58179,567.41,2544.7,567.75,2726.9,1.6872,6.9773
325.0,409.41999999999996,0.001076,0.56199,572.84,2545.9,573.19,2728.6,1.7005,6.965
350.0,412.01,0.001079,0.52422,583.89,2548.5,584.26,2732.0,1.7274,6.9402
361.53,413.15,0.00108,0.5085,588.77,2549.6,589.16,2733.5,1.7392,6.9294
375.0,414.45,0.001081,0.49133,594.32,2550.9,594.73,2735.1,1.7526,6.9171
400.0,416.76,0.001084,0.46242,604.22,2553.1,604.66,2738.1,1.7765,6.8955
415.68,418.15,0.001085,0.446,610.19,2554.4,610.64,2739.8,1.7908,6.8827
450.0,421.04999999999995,0.001088,0.41392,622.65,2557.1,623.14,2743.4,1.8205,6.8561
476.16,423.15,0.001091,0.39248,631.66,2559.1,632.18,2745.9,1.8418,6.8371
500.0,424.98,0.001093,0.37483,639.54,2560.7,640.09,2748.1,1.8604,6.8207
543.49,428.15,0.001096,0.34648,653.19,2563.5,653.79,2751.8,1.8924,6.7927
550.0,428.61,0.001097,0.34261,655.16,2563.9,655.77,2752.4,1.897,6.7886
600.0,431.98,0.001101,0.3156,669.72,2566.8,670.38,2756.2,1.9308,6.7593
